path,category,bytes,sha256,freeze_required,verification_mode,canonical_sha256,raw_verification_enforced
.github/workflows/project7-quality-gate.yml,continuous_integration,2686,5d21a84fd959f859acc862202246860c92ef489f757d286d3b7065feb32b4ba3,True,raw_size_and_sha256,,True
README.md,repository_root,3943,53613a7391c90814398de4bdf79eaeea9ef1c303a8dcdec9f8312688bba6fe91,True,raw_size_and_sha256,,True
audit/P3_04_Validation_Evidence.json,audit,3043,18efbb025728a04f34e850df8748334a8532a53cea0b22af4452b0907d91c146,True,raw_size_and_sha256,,True
audit/P3_04_v1_0_1_Validation_Evidence.json,audit,4067,17d0be8341d45cc2a71b6b815681d5c7608d12cf8f7c028599d484d69268527b,True,raw_size_and_sha256,,True
audit/README.md,audit,112,e1a89719e297d443e176ba3eb1bd9d09114adb12acfdd606c7c5e12b151971c3,True,raw_size_and_sha256,,True
audit/icm_service_source_registry.json,audit,1416,e88649494c56e3e888ebce106c1671d4b188aed35beb786918a399ee78126fad,True,raw_size_and_sha256,,True
audit/p4_01_intake_events.jsonl,audit,1933,4dd0745bcc6c207d54f3ffe7f5e5d695de96ae86aecb69c28f5aa0e3b7960dc1,True,raw_size_and_sha256,,True
audit/p4_02_alignment_history_events.jsonl,audit,3743,eda4da551d67c6200ef38a0b947e47ff4cf029562f9690a1d259b8946a28e007,True,raw_size_and_sha256,,True
audit/p4_04_evidence_workflow_events.jsonl,audit,4175,8791115d5b35e82b1734755c282e935ac7cf7bc78fa6a0c57adc5e993525eafe,True,raw_size_and_sha256,,True
audit/p4_04_tool_trace.jsonl,audit,1875,33ec8cc9ddffddad11555ca87b4d48ac88eb90cb0d297e25873ae66cd2945dbb,True,raw_size_and_sha256,,True
audit/p4_05_packet_events.jsonl,audit,3305,1703b504b857b6e2c02c67bf21367b8612d1a3d0a7e2726fc1f093b7877ec3da,True,raw_size_and_sha256,,True
audit/p4_06_artifact_checksums.csv,audit,16638,1876cf019fd647b6ba2530efe5f03e65ecd0f5533ac243df7abbad610902ae64,True,raw_size_and_sha256,,True
audit/p4_06_consolidated_case_ledger.jsonl,audit,17505,9db02a09d592cc1bc92e2ec8b34dfb3aa1ccdad7df73cc2f52107d01e8249616,True,raw_size_and_sha256,,True
audit/p4_06_reproducibility_events.jsonl,audit,2995,1e047a84cd5079f291fc9a219c09a99447d68afe794f56b12cf2e6549e250db2,True,raw_size_and_sha256,,True
audit/p5_01_frozen_evaluation_ledger.jsonl,audit,9361,0d27cecb5e0a32fa83a18437f3288a454a6dbd174eb45ceda1a21042c9242ef8,True,raw_size_and_sha256,,True
audit/p5_02_metrics_event.jsonl,audit,515,726726f772d134fd248e7112fd6c75dfee9b3bcd5a191b596ec716202e3d9738,True,raw_size_and_sha256,,True
audit/p5_03_failure_analysis_event.jsonl,audit,568,051768da281d972144c137ed31d1fa59a56a48916fd171e308a1364a48f86708,True,raw_size_and_sha256,,True
audit/p5_04_portability_ledger.jsonl,audit,1295,c8ea5000cf9e4ab5575810b8684ca04fc00daedca064a1a994897010cbbbbb61,True,raw_size_and_sha256,,True
audit/p5_04_refined_evaluation_ledger.jsonl,audit,8541,80dda10252fd7b87f31a15da4c7be611cc868be296ac087282073fbbd02b3c72,True,raw_size_and_sha256,,True
audit/p5_04_summary_event.jsonl,audit,434,99e26f82ec59e537a149e1bb7dac0aa259d7419531939e0128f27575f79d3e89,True,raw_size_and_sha256,,True
audit/p5_05_final_freeze_event.jsonl,audit,624,bcfa320da9d18b4e8129a88637ab560f6f511e483bedf95732541feca8d4f5af,True,raw_size_and_sha256,,True
audit/starter_file_manifest.json,audit,6512,abbbbb83a332ed5857aff855feb4dbbea616b64ededb45bcbcec6fb118c8cc46,True,raw_size_and_sha256,,True
config/README.md,configuration,851,8f4c04b7e3f223b6c42ff9e61015cc4d772fb2e0d7b03b2cdfcfe7fc2b1d2e21,True,raw_size_and_sha256,,True
config/contracts/audit_writer.contract.json,configuration,3269,2ae38674a22f3af70bb034793875ae468663e20bd139005a5c4778dd3613b9fb,True,raw_size_and_sha256,,True
config/contracts/case_intake_normalizer.contract.json,configuration,4081,dbe6389d34f8d6d99144e225ad1bb933b5e01afefba51a723920a0aac01f9662,True,raw_size_and_sha256,,True
config/contracts/clause_triage_model.contract.json,configuration,3759,98c628c1f26d9a5f0664eb5faa6012fc368dbc7e879118041455702f01b37a6b,True,raw_size_and_sha256,,True
config/contracts/component_contract_registry.json,configuration,5247,b706a2c597b3834e7daec44549ddb95c1451c299c53cdb800cf5667731ecc685,True,raw_size_and_sha256,,True
config/contracts/evidence_validator.contract.json,configuration,3880,e632ed435e700690095311e8dd9f1ae8c9858d69b895360428fb9c0a8d34b50f,True,raw_size_and_sha256,,True
config/contracts/historical_context_provider.contract.json,configuration,3373,315daf30b8d3abb5f6a4dc60de971908809a45a51e0456e17ccab2d720e4ae1e,True,raw_size_and_sha256,,True
config/contracts/human_disposition_recorder.contract.json,configuration,3801,7a37b69dd496a6dbd9a02d666fcee1f96bd6ba2f5e331331447e392996347f60,True,raw_size_and_sha256,,True
config/contracts/official_evidence_retriever.contract.json,configuration,3795,0c8e37c5be9b643c90102007af2bbe937029e3c073213cb878efd5fd1831bfd2,True,raw_size_and_sha256,,True
config/contracts/packet_assembler.contract.json,configuration,3556,0fcb83a9c4912acdcd379994596fedc64bb816223aa5bc4012855a34d21355fb,True,raw_size_and_sha256,,True
config/contracts/passage_selector.contract.json,configuration,3278,745c7306ff5c2e475ffc57982fd6739b7f776f6eab617f6799aa7957e9798281,True,raw_size_and_sha256,,True
config/contracts/profile_loader.contract.json,configuration,3995,2fee3a18f5867c8f9b7d0114509f22dcec7847152de5f714b824b0cb085849f5,True,raw_size_and_sha256,,True
config/contracts/recommendation_engine.contract.json,configuration,4961,469845a2b8460bc7a42d9953c7bc3bf03334884705d93e86c46d664b0a35bb81,True,raw_size_and_sha256,,True
config/contracts/risk_escalation_router.contract.json,configuration,3727,41f222c1f1aaf8df1f69b5b6449679613e6d583ec07295085bda92ee054c0ff0,True,raw_size_and_sha256,,True
config/contracts/service_alignment_engine.contract.json,configuration,3931,b0a60e02e607883d0039625c04302a8afe90b968ad3c7c887daddd714c4a25ed,True,raw_size_and_sha256,,True
config/contracts/workflow_orchestrator.contract.json,configuration,4350,49ff167776cb2866f9a01b077a428381f099e788f7789d0a53afb1c6682d487f,True,raw_size_and_sha256,,True
config/profiles/fictional_historical_context_map.csv,configuration,249,1667c4b11da0d9096c4a68c7c141cf7517c33fadd9a362892a6a532c7f74a69c,True,raw_size_and_sha256,,True
config/profiles/fictional_opportunity_rules.json,configuration,905,023fec028641bb580ee587404f441b558744f2aeee892b97dc3b585647d67943,True,raw_size_and_sha256,,True
config/profiles/fictional_recommendation_thresholds.json,configuration,1964,077ce84e20f68e7863f25561cd2ac63ff2d1050f7406534198d675f368e4694d,True,raw_size_and_sha256,,True
config/profiles/fictional_reviewer_roles.json,configuration,666,7821b7c17fefcc6c5ebfb8697279845f74cf2e3584cb1fe5149a46e3fc792a04,True,raw_size_and_sha256,,True
config/profiles/fictional_service_catalog.csv,configuration,2508,24d3794d3982343ef7b629f077380bfc153ffd95d3af01e4465e3a1c0380ccac,True,raw_size_and_sha256,,True
config/profiles/fictional_small_business.json,configuration,1321,c259172e27abb6d8a5a289f55cd34daa68bb760c7cc5de7dc0599c065eab0cfb,True,raw_size_and_sha256,,True
config/profiles/fictional_staffing_map.csv,configuration,638,a929d61af5698451486faa95f95bde5ce6c012526635f7dd4ac498ccf9f60606,True,raw_size_and_sha256,,True
config/profiles/icm_historical_context_map.csv,configuration,586,8cae70c137f76479528582f47b1694dc7d4696939bb919276be5b4039d2d25bd,True,raw_size_and_sha256,,True
config/profiles/icm_opportunity_rules.json,configuration,3318,ac9f09973c163c11e05e3f607a920da07e3dfcfe7cadb9c279f510e9b9e7cec3,True,raw_size_and_sha256,,True
config/profiles/icm_recommendation_thresholds.json,configuration,1983,8fb637375c25c6953cb5931ef26d93d3430a86d7cf351eaace75ec2e2e35c415,True,raw_size_and_sha256,,True
config/profiles/icm_reviewer_roles.json,configuration,3125,76a924d17c9c5c3f6d0591854f644467188fcb418358b9a9308dcbc102c26b0f,True,raw_size_and_sha256,,True
config/profiles/icm_service_catalog.csv,configuration,56599,236c5781c602f4eb26ae4c51bc55b7315d2fe55815f13f536ea6f9c4a1515233,True,raw_size_and_sha256,,True
config/profiles/icm_solutions.json,configuration,2087,01c36cc8bd9509e10fc62e7442a4980a04565041158918dcb410c0d4be454076,True,raw_size_and_sha256,,True
config/profiles/icm_staffing_map.csv,configuration,2288,e55b65b47f03a7dac38d35c7e65e110bdbb823f20a7e56c86d1d8f3ab98d6519,True,raw_size_and_sha256,,True
config/schemas/audit_event.schema.json,configuration,3083,602edcb21a7d614199eeaace1ce39b188e797eef6bad14594f5f7c2e301562d6,True,raw_size_and_sha256,,True
config/schemas/clause_prediction.schema.json,configuration,3131,1954fe7559d1729f01cc2247e99c993df6756862356ae53a091de7788e5a0e87,True,raw_size_and_sha256,,True
config/schemas/common_definitions.schema.json,configuration,3494,94053139553dba43607a598dc9c273fa2040967e2c78b7514283d83ce684232f,True,raw_size_and_sha256,,True
config/schemas/component_contract.schema.json,configuration,8565,0a4cfa2cebc298a4bf7b5e69c4f8a95d156e20eb94a904324d16ee82f3b61bd3,True,raw_size_and_sha256,,True
